0_Internal Flux,0_Voltage
-131.952527,6.400341
-126.340966,4.106402
-120.219262,3.086874
-113.332346,2.322228
-106.955572,1.302699
-101.344011,0.028289
-94.967236,1.812463
-87.570178,3.341756
-81.448475,3.851520
-76.347055,6.400341
-69.460139,7.929633
-62.573223,8.439397
-56.706590,8.694279
-50.839958,9.458926
-43.442900,8.439397
-37.831338,6.655223
-32.219777,5.890577
-25.332861,4.106402
-18.445944,2.067346
-13.089454,0.538053
-6.457609,0.792935
0.429307,1.812463
6.295940,2.831992
11.907501,3.851520
18.794417,6.145459
25.426263,6.910105
31.292895,8.184515
37.414598,8.949162
44.301515,10.223572
50.168147,8.439397
55.779708,6.655223
62.411554,6.400341
69.298470,4.361284
75.420173,1.812463
81.286806,1.557581
87.663580,1.302699
93.785283,1.047817
99.396845,1.047817
106.283761,3.086874
112.660535,4.871048
118.782239,6.145459
124.648871,8.184515
131.535787,9.458926
138.167633,8.439397
144.034265,8.694279
149.645826,8.439397
156.277672,6.400341
162.654446,4.106402
168.266007,3.341756
175.407995,2.322228
181.784769,1.047817
187.396330,0.028289
193.007892,2.322228
200.149879,3.086874
206.271582,4.106402
211.628073,5.635695
218.514989,8.184515
225.401905,8.694279
231.013467,8.439397
236.880099,9.204044
243.511944,8.439397
250.143789,6.400341
255.755351,5.890577
261.877054,4.361284
269.019041,2.322228
274.120461,0.538053
280.242164,1.812463
287.129080,1.302699
293.760926,2.322228
299.372487,2.322228
304.984049,5.635695
311.615894,6.910105
317.737597,7.674751
323.604230,8.694279
330.491146,9.968690
337.122991,8.949162
342.479481,7.929633
348.091043,6.655223
355.233030,5.380813
361.609804,2.831992
367.221366,1.812463
372.832927,1.302699
379.974914,0.792935
385.586476,0.792935
391.198037,2.577110
397.829883,4.361284
403.951586,5.890577
410.073289,6.655223
416.194993,8.439397
423.081909,9.458926
428.693470,9.204044
434.560103,8.439397
440.681806,8.439397
446.803509,6.145459
452.925213,3.851520
459.046916,3.086874
465.678761,2.322228
471.290323,0.538053
476.901884,0.283171
483.533729,2.322228
490.165575,3.341756
495.777136,4.361284
501.388697,6.145459
508.020543,8.184515
514.142246,8.694279
519.498736,8.694279
526.385653,9.204044
532.762427,8.694279
538.373988,6.655223
543.985550,5.635695
551.382608,5.125930
556.994169,2.577110
562.350660,1.047817
568.982505,0.792935
575.614350,1.047817
580.715770,1.557581
586.582402,3.086874
593.469318,5.380813
599.335951,6.655223
605.202583,7.674751
610.814144,9.458926
618.211203,9.204044
623.822764,8.439397
629.179255,8.439397
635.811100,7.419869
642.442945,5.380813
648.054506,3.341756
654.176210,2.067346
661.063126,1.557581
666.419616,0.283171
671.776107,0.792935
678.407952,2.577110
685.294868,3.596638
690.906430,4.871048
697.028133,6.655223
703.659978,9.204044
709.271540,8.694279
714.628030,8.949162
721.259876,9.458926
727.891721,7.929633
733.503282,6.145459
739.624986,5.125930
746.256831,3.851520
751.868392,2.067346
757.224883,0.283171
763.601657,1.302699
770.488573,1.047817
775.845064,1.812463
781.456625,3.596638
788.088470,5.890577
794.210174,7.164987
799.311593,7.929633
806.453580,9.204044
812.830355,9.968690
818.186845,8.439397
823.798406,7.674751
830.685323,7.164987
836.807026,5.125930
841.653375,2.577110
848.030149,2.322228
840.122949,3.341756
831.960678,4.616166
823.798406,6.400341
816.656419,8.949162
810.024574,9.204044
802.372445,8.694279
794.210174,8.184515
787.578328,6.910105
780.946483,4.361284
772.784212,2.831992
765.642225,2.067346
759.265450,1.047817
751.613321,0.538053
743.961192,2.067346
737.329347,4.361284
730.442431,5.890577
722.790301,7.674751
716.668598,8.694279
709.781682,9.713808
702.384624,8.184515
694.732494,7.929633
688.610791,6.400341
681.723875,4.106402
674.071746,2.067346
667.694971,1.302699
661.063126,1.047817
654.176210,1.047817
646.779152,2.067346
640.402377,4.871048
634.025603,6.145459
626.883616,7.164987
619.231487,8.949162
613.619925,9.713808
605.967796,8.439397
599.080880,7.164987
592.449034,6.400341
586.837473,4.361284
579.185344,2.067346
572.298428,1.302699
565.921653,0.538053
559.799950,0.538053
552.402892,2.067346
545.260905,4.106402
539.904414,5.890577
532.507356,7.164987
525.365369,8.694279
519.243665,8.949162
513.121962,8.184515
505.979975,8.439397
498.582917,7.164987
492.971355,4.616166
486.084439,2.322228
478.942452,1.812463
473.075819,1.557581
466.954116,0.792935
459.812129,0.538053
452.925213,3.341756
446.803509,4.361284
441.191948,5.890577
433.029677,7.674751
427.163044,9.968690
421.041341,9.204044
414.154425,8.184515
407.012438,8.184515
401.400876,6.910105
394.513960,4.361284
387.627044,2.067346
381.505340,1.302699
375.893779,0.538053
368.751792,0.028289
361.609804,1.812463
355.488101,3.341756
349.876540,4.361284
342.479481,6.400341
335.847636,8.949162
330.491146,8.694279
323.349159,8.439397
316.462242,8.439397
310.595610,8.184515
304.473907,5.125930
297.586990,3.596638
290.700074,2.831992
285.088513,1.047817
278.966809,0.283171
271.059609,1.302699
265.448048,2.067346
259.836486,2.831992
252.694499,4.871048
245.552512,7.419869
239.940951,7.929633
233.819247,8.184515
226.932331,8.949162
220.300486,9.204044
214.688924,7.419869
208.057079,5.380813
200.660021,4.106402
195.048459,3.086874
189.181827,0.792935
182.549982,0.538053
175.407995,1.302699
170.051504,1.812463
163.164588,2.067346
156.532743,5.380813
150.411039,7.164987
144.034265,8.184515
136.892278,8.184515
131.025645,8.949162
125.159013,9.204044
118.272097,7.674751
111.385180,5.890577
105.518548,4.616166
99.651916,2.577110
93.020070,1.047817
86.388225,0.283171
80.776664,1.047817
73.634677,1.302699
67.257902,3.341756
60.881128,5.380813
55.014496,6.655223
47.872508,7.164987
41.240663,8.439397
35.629102,9.458926
29.252327,9.204044
21.855269,6.655223
15.988637,6.145459
9.866933,5.125930
3.235088,2.322228
-3.906899,1.557581
-9.773531,1.812463
-16.150306,0.792935
-23.037222,1.047817
-29.158925,2.831992
-34.260345,5.380813
-41.657403,6.400341
-48.544319,7.419869
-54.410952,9.204044
-60.022513,9.713808
-66.909429,8.439397
-73.796345,7.674751
-79.407907,7.164987
-86.294823,4.871048
-93.181739,2.322228
-99.048372,1.812463
-104.659933,0.792935
-111.291778,0.283171
-118.433766,1.557581
-123.790256,3.341756
-129.911959,4.361284
-137.309018,5.890577
-143.940863,7.674751
-149.552424,8.949162
-155.929199,8.439397
-162.816115,8.949162
-168.937818,8.439397
-174.549380,6.655223
-181.436296,4.361284
-188.068141,4.106402
-193.679703,2.067346
-199.546335,0.538053
-206.943393,1.047817
-212.810025,1.557581
-218.421587,2.322228
-225.563574,3.341756
-232.195419,5.890577
-237.296839,7.929633
-244.693897,8.184515
-251.580813,8.439397
-257.192375,8.694279
-263.059007,8.184515
-269.690852,6.400341
-275.812556,5.380813
-281.679188,4.106402
-288.566104,2.067346
-295.708092,0.538053
-301.064582,1.047817
-306.676143,1.047817
-313.818131,1.302699
-320.705047,3.596638
-326.316608,5.890577
-332.183241,6.655223
-339.580299,7.419869
-345.446931,8.949162
-350.548351,9.458926
-357.945409,8.439397
-364.832325,7.419869
-370.443886,6.400341
-376.055448,3.851520
-383.452506,1.812463
-389.319138,1.557581
-395.185771,1.302699
-401.817616,1.047817
-408.449461,1.047817
-414.316094,3.086874
-419.927655,4.616166
-426.814571,5.890577
-433.956559,8.184515
-439.057978,9.204044
-445.944894,8.694279
-452.576740,7.929633
-458.443372,7.674751
-464.310004,6.655223
-470.941850,3.851520
-477.828766,2.831992
-483.440327,2.067346
-489.306960,1.047817
-496.704018,0.283171
-502.825721,1.047817
-508.437283,3.086874
-515.324199,3.851520
-521.956044,5.890577
-527.567605,8.184515
-533.689309,8.439397
-540.321154,9.204044
-547.208070,8.949162
-552.819632,7.929633
-558.686264,6.145459
-566.338393,5.125930
-571.949955,3.341756
-577.816587,2.067346
-584.703503,0.792935
-591.590420,1.557581
-597.457052,1.047817
-603.068613,1.812463
-609.955530,3.851520
-616.332304,6.145459
-621.943865,7.419869
-628.830781,7.929633
-636.227840,8.949162
-641.839401,9.458926
-647.706033,7.419869
-654.337879,7.164987
-661.224795,5.125930
-666.836356,3.851520
-673.978344,2.322228
-680.865260,1.557581
-686.476821,1.302699
-692.598525,1.557581
-699.995583,1.812463
-706.372357,3.851520
-707.137570,5.635695
-699.740512,3.086874
-692.598525,1.812463
-684.436253,1.812463
-677.039195,1.047817
-669.897208,1.302699
-662.755221,3.341756
-654.592950,6.145459
-647.961104,6.910105
-641.329259,8.439397
-633.422059,9.458926
-625.769930,8.694279
-619.138085,7.164987
-611.741026,6.145459
-604.599039,4.361284
-597.712123,2.067346
-591.590420,0.792935
-583.683219,1.047817
-576.286161,0.792935
-570.164458,1.812463
-563.022471,4.106402
-555.625412,6.655223
-548.993567,7.674751
-542.616793,8.184515
-534.964664,9.458926
-527.567605,8.439397
