0_Bias,0_Voltage
-112.732940,-69.554517
-112.477747,-66.241050
-111.201783,-63.437347
-109.415433,-61.908055
-108.649855,-59.359234
-107.884276,-56.555531
-105.842733,-54.771357
-105.332348,-53.751829
-104.311577,-50.693244
-103.290805,-49.163951
-101.504456,-47.634659
-100.738877,-45.085838
-99.973299,-42.537017
-98.442142,-41.262607
-97.166178,-39.478433
-96.145406,-37.439376
-95.379828,-34.635673
-93.848671,-33.361263
-92.572707,-31.577088
-92.062321,-28.773385
-90.531164,-27.244093
-88.744814,-26.224565
-88.234429,-23.420862
-87.724043,-21.381805
-85.937693,-20.617159
-84.151344,-20.107395
-84.151344,-18.323220
-82.364994,-17.048810
-80.833837,-16.793928
-80.068258,-15.264635
-79.557873,-13.990225
-77.771523,-13.480461
-76.240366,-13.225579
-75.729980,-12.206051
-74.964402,-11.696286
-72.922859,-11.696286
-72.667667,-10.931640
-72.157281,-9.912112
-70.115738,-10.421876
-69.094967,-10.931640
-68.839774,-8.637702
-66.543039,-8.127937
-65.522268,-8.637702
-65.011882,-7.363291
-63.991111,-6.343763
-62.715147,-6.598645
-60.928797,-6.853527
-60.418411,-6.343763
-59.397640,-5.069353
-57.611290,-5.324235
-57.100904,-5.069353
-56.590519,-4.814470
-54.804169,-4.814470
-53.528205,-5.579117
-52.507434,-4.814470
-51.741855,-4.049824
-49.955505,-5.069353
-49.445120,-4.559588
-48.679541,-4.304706
-47.148384,-4.814470
-46.382806,-5.069353
-45.106842,-4.814470
-43.830878,-3.794942
-42.554914,-5.069353
-42.299721,-4.814470
-41.534142,-4.049824
-39.747793,-4.304706
-38.982214,-5.069353
-38.216636,-4.304706
-37.195864,-4.559588
-34.899129,-5.324235
-34.643936,-4.559588
-34.133551,-4.304706
-32.347201,-4.304706
-30.816044,-5.324235
-30.050465,-4.814470
-29.540080,-3.540060
-28.008923,-4.814470
-26.222573,-5.069353
-25.967380,-4.559588
-24.691416,-4.304706
-23.160259,-4.814470
-22.905066,-4.814470
-22.139488,-3.794942
-20.608331,-4.559588
-18.821981,-5.324235
-18.566788,-3.794942
-17.546017,-4.559588
-16.014860,-5.069353
-15.249282,-4.304706
-14.738896,-4.049824
-12.697353,-4.814470
-11.931775,-5.069353
-11.676582,-4.814470
-9.890232,-3.794942
-8.869461,-5.069353
-8.103883,-5.069353
-7.338304,-4.049824
-5.551954,-4.814470
-4.275990,-4.559588
-3.765605,-4.304706
-3.000026,-4.049824
-0.958484,-4.814470
0.317480,-5.324235
-0.192905,-4.304706
1.338252,-4.814470
2.869409,-4.814470
3.379794,-4.304706
4.655758,-4.559588
6.186915,-5.069353
6.952494,-4.814470
7.462879,-3.794942
8.994036,-4.559588
10.270001,-5.324235
11.290772,-4.304706
12.056350,-4.814470
13.587507,-5.324235
14.097893,-4.814470
15.118664,-4.049824
16.649821,-4.049824
17.925785,-5.069353
18.691364,-4.814470
19.201749,-4.049824
20.477713,-4.559588
21.753678,-4.814470
22.264063,-4.049824
24.050413,-4.814470
25.836763,-5.069353
26.091955,-4.304706
26.347148,-4.049824
28.643884,-4.559588
29.154269,-4.814470
29.664655,-4.049824
31.451005,-4.304706
32.726969,-4.814470
33.492547,-4.304706
33.747740,-4.049824
35.534090,-4.304706
36.554861,-4.814470
36.810054,-4.814470
38.596404,-4.814470
40.382754,-4.814470
40.382754,-4.559588
41.403525,-3.794942
42.679489,-4.559588
44.465839,-5.069353
44.976224,-4.814470
45.486610,-4.049824
46.762574,-4.814470
48.038538,-5.324235
48.548924,-4.304706
49.824888,-4.304706
51.866431,-5.069353
51.866431,-4.814470
52.632009,-4.559588
54.163166,-4.559588
55.694323,-5.324235
55.694323,-4.814470
56.970287,-4.304706
59.011830,-5.069353
59.267022,-4.559588
60.032601,-4.304706
61.308565,-4.814470
63.094915,-4.559588
63.350108,-4.559588
64.626072,-3.794942
66.157229,-4.814470
66.667614,-3.794942
66.922807,-3.540060
68.709157,-3.540060
70.240314,-3.285178
70.750699,-1.755886
71.261085,-0.991239
73.557820,-0.736357
73.813013,0.283171
74.068206,1.812463
75.854556,2.577110
77.385713,3.341756
77.640906,5.125930
78.406484,6.655223
79.937641,7.674751
81.213605,7.929633
81.213605,10.478454
82.999955,11.243100
84.531112,11.497982
85.296690,13.282157
85.807076,15.066331
87.083040,15.576095
88.614197,16.085860
89.124583,17.360270
90.145354,19.399327
91.931704,19.399327
92.442089,21.183501
92.952475,22.967676
94.483632,23.987204
96.014789,24.496968
96.525174,26.281143
96.780367,28.575081
98.821910,29.594610
99.587488,30.359256
99.842681,32.908077
101.629031,34.182487
103.160188,35.202015
103.670573,37.241072
104.180959,39.025246
105.712116,40.554539
106.732887,41.319185
106.988080,44.377770
108.774430,44.887534
110.560780,45.907062
110.815972,47.946119
111.581551,49.985176
113.367901,49.985176
114.133479,51.769350
114.388672,53.553525
116.430214,54.318171
117.706179,55.337699
117.961371,57.376756
118.726950,58.141402
120.768492,59.160930
121.278878,59.925576
121.789264,61.964633
123.065228,64.003690
124.596385,64.768336
124.851578,66.807392
125.361963,69.101331
127.148313,69.611095
126.637927,70.120859
123.830806,68.846449
123.830806,66.297628
122.810035,63.748808
121.534071,62.729279
119.237336,61.709751
118.471757,59.160930
118.216564,57.121874
116.175022,56.102345
114.133479,54.827935
113.623093,52.788878
112.602322,51.004704
110.815972,50.749822
109.795201,48.201001
109.284815,46.161944
107.753659,45.142416
105.967309,44.377770
105.456923,41.828949
104.946537,39.280128
102.394609,38.515482
101.884224,36.476426
100.097874,33.927605
99.842681,32.143430
98.056331,31.633666
97.545946,28.575081
95.504403,27.045789
94.483632,26.281143
93.718053,24.242086
93.207668,22.203029
91.166125,20.928619
89.634968,20.418855
89.379775,18.889562
88.614197,17.870034
86.062269,16.850506
85.551883,14.811449
85.041497,13.282157
83.255148,12.262629
81.468798,12.007746
81.213605,9.968690
80.448027,8.439397
77.896098,7.674751
77.385713,6.655223
76.364941,4.616166
76.109749,2.577110
73.557820,2.067346
73.047435,0.538053
72.792242,-1.246121
71.005892,-0.991239
68.964350,-1.501003
68.453964,-3.030296
68.198771,-4.049824
66.412421,-4.049824
65.391650,-3.540060
64.626072,-5.069353
63.094915,-4.304706
61.308565,-4.049824
61.053372,-4.814470
59.777408,-4.559588
57.735865,-4.304706
57.480673,-4.814470
56.970287,-5.069353
55.183937,-4.814470
53.907973,-4.304706
52.632009,-4.814470
52.632009,-5.069353
50.590466,-4.559588
49.059309,-4.049824
48.804117,-4.304706
47.783345,-4.814470
45.996996,-4.049824
45.741803,-4.559588
44.976224,-4.814470
43.445067,-4.814470
41.658718,-3.794942
41.403525,-4.814470
40.637946,-5.069353
38.341211,-4.304706
37.575632,-4.304706
37.320440,-5.069353
35.534090,-4.814470
34.513319,-3.794942
33.747740,-5.579117
32.216583,-5.579117
30.430233,-3.794942
29.919848,-4.814470
29.919848,-5.579117
28.133498,-4.814470
26.091955,-4.049824
26.091955,-4.304706
24.560799,-5.324235
23.029642,-4.304706
22.519256,-4.559588
22.264063,-5.324235
20.477713,-4.559588
18.436171,-4.049824
17.925785,-4.559588
17.160207,-5.324235
15.629050,-4.304706
14.097893,-4.814470
13.587507,-4.814470
13.332314,-4.814470
11.035579,-4.049824
10.014808,-4.559588
9.759615,-5.324235
8.228458,-4.559588
6.697301,-4.049824
6.186915,-4.559588
5.676530,-5.069353
4.400566,-4.304706
2.869409,-4.049824
2.103830,-5.069353
0.572673,-4.559588
-0.448098,-4.049824
-1.468869,-4.814470
-1.979255,-5.579117
-3.255219,-4.559588
-5.296762,-4.049824
-4.786376,-4.814470
-6.827919,-4.814470
-8.359075,-4.304706
-8.614268,-4.559588
-9.379847,-4.814470
-11.166197,-4.814470
-12.697353,-3.794942
-12.952546,-4.559588
-13.718125,-5.069353
-15.759667,-4.814470
-16.525246,-4.304706
-17.035631,-5.324235
-18.566788,-5.069353
-20.097945,-4.049824
-20.097945,-5.069353
-21.884295,-4.304706
-23.670645,-4.049824
-24.181030,-4.814470
-24.436223,-5.069353
-25.967380,-4.304706
-27.753730,-4.049824
-28.008923,-5.324235
-28.774501,-5.069353
-30.816044,-5.069353
-31.836815,-4.814470
-32.347201,-5.579117
-33.623165,-4.814470
-35.154322,-3.794942
-35.919900,-4.559588
-36.430286,-5.069353
-38.471828,-4.049824
-38.982214,-4.304706
-39.492600,-5.579117
-41.278950,-4.814470
-43.320492,-4.049824
-43.575685,-4.304706
-43.575685,-5.069353
-46.382806,-4.049824
-46.893192,-4.304706
-47.658770,-4.304706
-48.169156,-5.324235
-50.465891,-4.814470
-50.976277,-4.814470
-51.231470,-5.579117
-52.762627,-4.559588
-54.293783,-4.304706
-55.059362,-4.814470
-56.080133,-4.814470
-57.866483,-4.559588
-58.376869,-5.069353
-58.887254,-5.833999
-60.418411,-6.088881
-61.694375,-5.324235
-61.949568,-6.088881
-63.480725,-6.853527
-64.501496,-6.343763
-66.032653,-7.363291
-66.543039,-8.127937
-67.563810,-8.892584
-69.605353,-7.873055
-70.115738,-9.147466
-70.370931,-10.166994
-72.157281,-9.912112
-73.688438,-9.912112
-74.198824,-10.931640
-75.474788,-11.441404
-77.005945,-11.186522
-77.516330,-12.970697
-77.771523,-13.480461
-79.557873,-13.225579
-81.344223,-13.990225
-81.599415,-15.519518
-82.875380,-16.793928
-84.406536,-17.048810
-84.916922,-18.578102
-85.427308,-19.852513
-87.213657,-21.126923
-88.489622,-21.636687
-88.489622,-24.185508
-90.020779,-25.205036
-92.062321,-26.479447
-92.572707,-29.028267
-92.827900,-31.067324
-94.103864,-31.831970
-96.145406,-34.125909
-96.655792,-36.164966
-96.910985,-38.713786
-98.442142,-39.988197
-99.973299,-41.007725
-100.483684,-44.066310
-102.014841,-45.085838
-103.545998,-46.360249
-104.311577,-48.909069
-104.566769,-51.203008
-106.608312,-52.477418
-107.118698,-54.771357
-107.629083,-56.555531
-109.415433,-58.339706
-110.691397,-59.868998
-110.946590,-62.417819
-112.222554,-65.221522
-114.008904,-66.750814
-114.519289,-69.044753
-115.029675,-72.358220
-117.071218,-73.632630
-118.602375,-74.907041
-119.112760,-77.455862
-119.623146,-79.749800
-120.899110,-80.004682
-122.685460,-81.279093
-123.195845,-83.063267
-124.471809,-84.592560
-126.002966,-84.082795
-126.768545,-85.612088
-126.768545,-86.886498
-128.554895,-86.886498
-129.830859,-87.651145
-130.596437,-88.670673
-131.872401,-88.925555
-133.403558,-89.690201
-134.424330,-90.454847
-134.934715,-91.729258
-136.210679,-91.474376
-135.445101,-90.964611
-133.913944,-90.709729
-132.637980,-90.709729
-131.872401,-89.180437
-130.086052,-88.415791
-128.299702,-88.415791
-127.534123,-87.141380
-126.258159,-85.612088
-124.216617,-85.102324
-123.706231,-84.337678
-123.451038,-82.043739
-121.664688,-81.788857
-119.367953,-81.279093
-119.112760,-78.985154
-118.347182,-76.691215
-115.795254,-75.416805
-115.029675,-72.867984
-114.774482,-69.554517
-112.988132,-67.260579
-111.456976,-65.476404
-110.436204,-62.927583
-109.670626,-60.123881
-108.394662,-58.339706
-106.353119,-56.300649
-106.097926,-54.261593
-104.821962,-51.457890
-103.290805,-50.693244
-102.270034,-48.144423
-101.504456,-45.085838
-100.228491,-44.321192
-98.442142,-42.537017
-97.931756,-40.243079
-96.910985,-37.694258
